2014-11-29, Swindon Town, Fleetwood Town, 1, 0, vs, TRUE
2014-11-29, Rochdale, Oldham Athletic, 0, 3, vs, TRUE
2014-11-29, Crewe Alexandra, Doncaster, 1, 1, vs, TRUE
2014-11-29, Coventry City, Walsall, 0, 0, vs, TRUE
2014-11-29, Barnsley, Scunthorpe Utd, 1, 2, vs, TRUE
2014-11-29, Bradford City, Leyton Orient, 3, 1, vs, TRUE
2014-11-29, Crawley Town, Chesterfield, 1, 1, vs, TRUE
2014-12-02, Sheffield Utd, MK Dons, 0, 1, vs, TRUE
2014-12-02, Barnsley, Doncaster, 1, 1, vs, TRUE
2014-12-13, Preston, MK Dons, 1, 1, vs, TRUE
2014-12-13, Notts County, Swindon Town, 0, 3, vs, TRUE
2014-12-13, Oldham Athletic, Yeovil Town, 0, 4, vs, TRUE
2014-12-13, Scunthorpe Utd, Crewe Alexandra, 2, 1, vs, TRUE
2014-12-13, Walsall, Barnsley, 3, 1, vs, TRUE
2014-12-13, Chesterfield, Bradford City, 0, 1, vs, TRUE
2014-12-13, Bristol City, Crawley Town, 1, 0, vs, TRUE
2014-12-13, Fleetwood Town, Sheffield Utd, 1, 1, vs, TRUE
2014-12-13, Leyton Orient, P'borough Utd, 1, 2, vs, TRUE
2014-12-13, Doncaster, Gillingham, 1, 2, vs, TRUE
2014-12-13, Colchester Utd, Rochdale, 1, 4, vs, TRUE
2014-12-13, Port Vale, Coventry City, 0, 2, vs, TRUE
2014-12-20, Bradford City, Scunthorpe Utd, 1, 1, vs, TRUE
2014-12-20, Gillingham, Chesterfield, 2, 3, vs, TRUE
2014-12-20, Rochdale, Notts County, 2, 2, vs, TRUE
2014-12-20, Sheffield Utd, Walsall, 1, 1, vs, TRUE
2014-12-20, Crewe Alexandra, Bristol City, 1, 0, vs, TRUE
2014-12-20, Barnsley, Leyton Orient, 2, 0, vs, TRUE
2014-12-20, Swindon Town, Doncaster, 0, 1, vs, TRUE
2014-12-20, Coventry City, Fleetwood Town, 1, 1, vs, TRUE
2014-12-20, P'borough Utd, Preston, 0, 1, vs, TRUE
2014-12-20, MK Dons, Oldham Athletic, 7, 0, vs, TRUE
2014-12-20, Yeovil Town, Colchester Utd, 0, 1, vs, TRUE
2014-12-20, Crawley Town, Port Vale, 1, 2, vs, TRUE
2014-12-26, Walsall, Swindon Town, 1, 4, vs, TRUE
2014-12-26, Colchester Utd, Gillingham, 1, 2, vs, TRUE
2014-12-26, Preston, Barnsley, 1, 0, vs, TRUE
2014-12-26, Scunthorpe Utd, Rochdale, 2, 1, vs, TRUE
2014-12-26, Port Vale, Sheffield Utd, 2, 1, vs, TRUE
2014-12-26, Fleetwood Town, Bradford City, 0, 2, vs, TRUE
2014-12-26, Bristol City, Yeovil Town, 2, 1, vs, TRUE
