2018-01-27, Carlisle United, FG Rovers, 1, 0, vs, TRUE
2018-01-27, Chesterfield, Stevenage, 0, 1, vs, TRUE
2018-01-27, Morecambe, Mansfield Town, 1, 2, vs, TRUE
2018-01-27, Swindon Town, Crewe Alexandra, 4, 3, vs, TRUE
2018-01-27, Crawley Town, Acc'ton Stanley, 2, 1, vs, TRUE
2018-01-30, Lincoln City, Newport County, 3, 1, vs, TRUE
2018-01-30, Stevenage, Swindon Town, 0, 1, vs, TRUE
2018-01-30, Yeovil Town, Grimsby Town, 3, 0, vs, TRUE
2018-01-30, Luton Town, Wycombe, 2, 3, vs, TRUE
2018-01-30, Coventry City, Cambridge Utd, 3, 1, vs, TRUE
2018-01-31, Exeter City, FG Rovers, 2, 0, vs, TRUE
2018-02-03, Notts County, Crewe Alexandra, 4, 1, vs, TRUE
2018-02-03, Yeovil Town, Cambridge Utd, 2, 0, vs, TRUE
2018-02-03, Grimsby Town, Cheltenham, 1, 1, vs, TRUE
2018-02-03, Wycombe, Carlisle United, 4, 3, vs, TRUE
2018-02-03, Mansfield Town, Barnet, 3, 1, vs, TRUE
2018-02-03, Acc'ton Stanley, Stevenage, 3, 2, vs, TRUE
2018-02-03, Lincoln City, Swindon Town, 2, 2, vs, TRUE
2018-02-03, Chesterfield, Crawley Town, 1, 2, vs, TRUE
2018-02-03, Port Vale, Morecambe, 0, 0, vs, TRUE
2018-02-03, Colchester Utd, Newport County, 2, 0, vs, TRUE
2018-02-03, Luton Town, Exeter City, 1, 0, vs, TRUE
2018-02-03, FG Rovers, Coventry City, 2, 1, vs, TRUE
2018-02-06, Acc'ton Stanley, Swindon Town, 2, 1, vs, TRUE
2018-02-09, Cambridge Utd, Lincoln City, 0, 0, vs, TRUE
2018-02-10, Coventry City, Acc'ton Stanley, 0, 2, vs, TRUE
2018-02-10, Cheltenham, Port Vale, 5, 1, vs, TRUE
2018-02-10, Crawley Town, Grimsby Town, 3, 0, vs, TRUE
2018-02-10, Exeter City, Wycombe, 1, 1, vs, TRUE
2018-02-10, Carlisle United, Colchester Utd, 1, 1, vs, TRUE
2018-02-10, Swindon Town, Mansfield Town, 1, 0, vs, TRUE
