2015-05-02, Red Stars, Sky Blue, 1, 0, vs, TRUE
2015-05-02, Reign, Spirit, 3, 1, vs, TRUE
2015-05-08, Flash, Kansas City, 0, 1, vs, TRUE
2015-05-09, Red Stars, Boston, 3, 0, vs, TRUE
2015-05-09, Sky Blue, Reign, 1, 1, vs, TRUE
2015-05-09, Thorns, Spirit, 2, 2, vs, TRUE
2015-05-14, Kansas City, Flash, 0, 0, vs, TRUE
2015-05-15, Dash, Red Stars, 2, 2, vs, TRUE
2015-05-16, Boston, Thorns, 1, 0, vs, TRUE
2015-05-16, Spirit, Sky Blue, 1, 0, vs, TRUE
2015-05-22, Boston, Sky Blue, 1, 1, vs, TRUE
2015-05-23, Flash, Spirit, 3, 2, vs, TRUE
2015-05-23, Kansas City, Red Stars, 1, 2, vs, TRUE
2015-05-23, Thorns, Dash, 0, 1, vs, TRUE
2015-05-30, Boston, Kansas City, 1, 0, vs, TRUE
2015-05-30, Reign, Red Stars, 0, 0, vs, TRUE
2015-05-30, Spirit, Thorns, 2, 1, vs, TRUE
2015-05-31, Sky Blue, Dash, 1, 1, vs, TRUE
2015-06-06, Dash, Thorns, 0, 0, vs, TRUE
2015-06-06, Flash, Red Stars, 3, 1, vs, TRUE
2015-06-06, Reign, Sky Blue, 3, 0, vs, TRUE
2015-06-06, Spirit, Boston, 1, 1, vs, TRUE
2015-06-19, Thorns, Kansas City, 1, 1, vs, TRUE
2015-06-20, Dash, Flash, 2, 0, vs, TRUE
2015-06-21, Boston, Reign, 2, 3, vs, TRUE
2015-06-27, Reign, Kansas City, 2, 1, vs, TRUE
2015-06-27, Spirit, Dash, 1, 0, vs, TRUE
2015-06-28, Boston, Flash, 0, 2, vs, TRUE
2015-06-28, Sky Blue, Red Stars, 0, 3, vs, TRUE
2015-07-03, Flash, Reign, 1, 1, vs, TRUE
2015-07-03, Kansas City, Spirit, 3, 0, vs, TRUE
2015-07-03, Thorns, Sky Blue, 2, 1, vs, TRUE
2015-07-09, Boston, Kansas City, 2, 3, vs, TRUE
2015-07-11, Reign, Flash, 4, 2, vs, TRUE
2015-07-11, Sky Blue, Thorns, 1, 0, vs, TRUE
2015-07-12, Dash, Red Stars, 1, 2, vs, TRUE
2015-07-18, Red Stars, Boston, 1, 1, vs, TRUE
2015-07-18, Spirit, Reign, 3, 0, vs, TRUE
2015-07-19, Flash, Sky Blue, 3, 3, vs, TRUE
2015-07-20, Kansas City, Dash, 1, 1, vs, TRUE
2015-07-22, Boston, Red Stars, 1, 2, vs, TRUE
2015-07-22, Thorns, Reign, 0, 1, vs, TRUE
2015-07-25, Flash, Dash, 0, 1, vs, TRUE
2015-07-25, Sky Blue, Boston, 3, 1, vs, TRUE
2015-07-25, Spirit, Red Stars, 1, 1, vs, TRUE
2015-07-26, Reign, Thorns, 3, 0, vs, TRUE
2015-07-29, Dash, Kansas City, 3, 2, vs, TRUE
2015-07-29, Flash, Thorns, 0, 2, vs, TRUE
2015-08-01, Boston, Reign, 1, 2, vs, TRUE
2015-08-01, Red Stars, Kansas City, 2, 2, vs, TRUE
2015-08-01, Sky Blue, Flash, 1, 2, vs, TRUE
2015-08-01, Spirit, Dash, 3, 1, vs, TRUE
2015-08-05, Thorns, Boston, 5, 2, vs, TRUE
2015-08-07, Dash, Sky Blue, 0, 2, vs, TRUE
2015-08-08, Boston, Spirit, 2, 1, vs, TRUE
2015-08-08, Kansas City, Flash, 4, 0, vs, TRUE
2015-08-09, Thorns, Red Stars, 2, 1, vs, TRUE
2015-08-12, Kansas City, Thorns, 3, 0, vs, TRUE
2015-08-12, Red Stars, Sky Blue, 1, 1, vs, TRUE
2015-08-12, Reign, Dash, 2, 1, vs, TRUE
2015-08-12, Spirit, Flash, 1, 1, vs, TRUE
2015-08-16, Red Stars, Spirit, 1, 2, vs, TRUE
2015-08-21, Dash, Reign, 0, 3, vs, TRUE
2015-08-22, Kansas City, Boston, 3, 0, vs, TRUE
2015-08-22, Sky Blue, Thorns, 1, 0, vs, TRUE
2015-08-23, Red Stars, Flash, 0, 0, vs, TRUE
2015-08-26, Reign, Boston, 3, 1, vs, TRUE
2015-08-27, Kansas City, Spirit, 0, 0, vs, TRUE
2015-08-29, Flash, Red Stars, 0, 2, vs, TRUE
2015-08-29, Reign, Sky Blue, 1, 1, vs, TRUE
