1998-07-27, Cleveland Rockers, Los Angeles Sparks, 83, 67, vs
1998-07-27, Utah Starzz, Phoenix Mercury, 90, 80, vs
1998-07-28, Houston Comets, Phoenix Mercury, 72, 62, vs
1998-07-29, Cleveland Rockers, Sacramento Monarchs, 75, 67, vs
1998-07-29, Washington Mystics, Los Angeles Sparks, 68, 77, vs
1998-07-30, Charlotte Sting, Cleveland Rockers, 79, 64, vs
1998-07-30, Houston Comets, Utah Starzz, 88, 65, vs
1998-07-31, Detroit Shock, Sacramento Monarchs, 78, 77, vs
1998-07-31, Los Angeles Sparks, Phoenix Mercury, 71, 56, vs
1998-08-01, Houston Comets, Cleveland Rockers, 71, 74, vs
1998-08-01, Utah Starzz, Los Angeles Sparks, 65, 73, vs
1998-08-01, Washington Mystics, New York Liberty, 53, 67, vs
1998-08-02, Houston Comets, Sacramento Monarchs, 70, 53, vs
1998-08-02, New York Liberty, Charlotte Sting, 85, 67, vs
1998-08-03, Charlotte Sting, Detroit Shock, 71, 68, vs
1998-08-03, Los Angeles Sparks, Washington Mystics, 86, 72, vs
1998-08-04, Phoenix Mercury, Washington Mystics, 88, 59, vs
1998-08-04, Sacramento Monarchs, Cleveland Rockers, 60, 72, vs
1998-08-04, Utah Starzz, Houston Comets, 57, 77, vs
1998-08-05, Charlotte Sting, New York Liberty, 69, 61, vs
1998-08-05, Detroit Shock, Los Angeles Sparks, 73, 61, vs
1998-08-06, Houston Comets, Phoenix Mercury, 75, 64, vs
1998-08-06, Utah Starzz, Cleveland Rockers, 69, 79, vs
1998-08-07, Detroit Shock, Houston Comets, 57, 61, vs
1998-08-07, Sacramento Monarchs, Washington Mystics, 76, 55, vs
1998-08-08, Cleveland Rockers, Charlotte Sting, 65, 58, vs
1998-08-08, New York Liberty, Los Angeles Sparks, 80, 62, vs
1998-08-08, Phoenix Mercury, Utah Starzz, 68, 62, vs
1998-08-09, Washington Mystics, Los Angeles Sparks, 76, 74, vs
1998-08-10, Cleveland Rockers, Phoenix Mercury, 80, 82, vs
1998-08-10, Houston Comets, Charlotte Sting, 70, 67, vs
1998-08-10, Utah Starzz, Detroit Shock, 73, 77, vs
1998-08-11, New York Liberty, Phoenix Mercury, 79, 78, vs
